,CATEGORY,SECTION,REGION,NAME,SCORE,SCORE_REVIEW,REVIEW,LINK,ADDRESS,lat,lng,IMG
56,FOOD,A,제주시,바다잔치,4.6,9건,6,https://place.map.kakao.com/10411462,"
제주특별자치도 제주시 탑동로 79
(지번) 삼도2동 1221-22
",33.5177224,126.5168965,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F2C8CAB386A454D68854C2CC751FD5455
57,FOOD,A,제주시,코크니셰,4.4,5건,7,https://place.map.kakao.com/202477480,"
제주특별자치도 제주시 서사로11길 16 1층
(지번) 삼도이동 594-30
",33.5056572,126.5216826,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF5B68599B2734E019ACFA0FFF942E2F7
58,FOOD,A,제주시,상향평준화,5.0,7건,9,https://place.map.kakao.com/1536305344,"
제주특별자치도 제주시 남성로 156 지하 1층
(지번) 삼도이동 199-5
",33.5090945,126.5219589,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F049407224676418997303B215A8EFFE5
59,FOOD,A,제주시,크림,5.0,3건,9,https://place.map.kakao.com/404576962,"
제주특별자치도 제주시 탑동로 14 아라리오뮤지엄 1층
(지번) 삼도이동 1261-8
",33.5174219,126.5234393,0
60,FOOD,A,제주시,돈돈,4.7,29건,8,https://place.map.kakao.com/27235075,"
제주특별자치도 제주시 관덕로 2-3 1층
(지번) 삼도2동 851-1
",33.5125544,126.519896,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2379E050563062E505
61,FOOD,A,제주시,미친건아,4.8,4건,6,https://place.map.kakao.com/1875441684,"
제주특별자치도 제주시 탑동로 15 2층
(지번) 삼도이동 1192-28
",33.517007,126.5231956,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4C0BECA8CB944982A44377B59C0573EA
62,FOOD,A,제주시,카페효주,5.0,10건,7,https://place.map.kakao.com/1525524763,"
제주특별자치도 제주시 관덕로 8 1층
(지번) 삼도이동 903
",33.5127375,126.5202782,0
63,FOOD,A,제주시,봄이네해바라기,3.6,19건,10,https://place.map.kakao.com/20018734,"
제주특별자치도 제주시 중앙로14길 24
(지번) 삼도이동 925-1
",33.5113185,126.521793,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6DCD32CCF9CF4EBB81302DE19B3DE45D
64,FOOD,A,제주시,연수감자탕,3.3,7건,9,https://place.map.kakao.com/17710781,"
제주특별자치도 제주시 전농로 103-1
(지번) 삼도2동 300-96
",33.5044477,126.5244388,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE2DE60B21BAD47A8AB3E684FF8B2B0C7
65,FOOD,A,제주시,제주관덕정분식,3.1,55건,188,https://place.map.kakao.com/1951295696,"
제주특별자치도 제주시 관덕로8길 7-9 1층
(지번) 일도1동 1448
",33.5125989,126.5243823,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1963593296
66,FOOD,A,제주시,태광식당,3.7,74건,166,https://place.map.kakao.com/24119106,"
제주특별자치도 제주시 탑동로 144
(지번) 용담일동 118
",33.5126043,126.5188652,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F727BC14F892C4775B18BED4FC1CAEB9A
67,FOOD,A,제주시,진아떡집,4.5,95건,118,https://place.map.kakao.com/10777503,"
제주특별자치도 제주시 동문로4길 7-1
(지번) 일도일동 1141-3
",33.5123688,126.5284577,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF13EFA33FC7243FE9A9338FE58AD5AA8
68,FOOD,A,제주시,고집돌우럭 제주공항점,4.7,905건,1896,https://place.map.kakao.com/232056222,"
제주특별자치도 제주시 임항로 30
(지번) 건입동 1319-124
",33.5163432,126.5281752,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCCB0F339201548D29FBAFF6437D13D6E
69,FOOD,A,제주시,마음에온,4.4,33건,156,https://place.map.kakao.com/522395014,"
제주특별자치도 제주시 칠성로길 29-1
(지번) 일도일동 1301-4
",33.514554,126.5260077,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F38F757F05CA24D71B9B9ABCF92CE0ABD
70,FOOD,A,제주시,복집식당,4.3,49건,27,https://place.map.kakao.com/10372437,"
제주특별자치도 제주시 비룡길 5
(지번) 용담일동 109
",33.5125961,126.51848,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FADA7A0600F434FE0B024D44837795390
71,FOOD,A,제주시,살아있는해물뚝배기 어마장장,4.4,88건,228,https://place.map.kakao.com/1697090646,"
제주특별자치도 제주시 성지로 62
(지번) 일도이동 1028-49
",33.5110843,126.5299184,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3F8092990DC84486B040B3F046363F4A
